year	round	plotid	plant	VWC.plant	VWC.sm	photosynthesis	conductance	WUE	flowered	survived	RGR
2018	2018-07-13	2B	92		5.68	9.3708901375	0.044714245395	209.593	1	1	
2018	2018-07-13	2C	270		3.18	18.16618922	0.2259183857	80.99	0	1	
2018	2018-07-13	2D	193		9.379999999999999	22.695940315	0.4261215944	53.262	0	1	1.072964457207606
2018	2018-07-13	3A	126		4.08	17.65122506	0.22118853225	80.036	0	0	
2018	2018-07-13	3B	619		4.88	3.3985725305	0.099550239325	34.145	0	1	0.96846141691269
2018	2018-07-13	3C	165		7.34	22.699717895	0.40689355435	55.788	0	1	
2018	2018-07-13	3D	865		4.88	8.301322979	0.087678351515	94.662	0	1	-0.7636855063517171
2018	2018-07-13	4A	116		8.68	17.09878701	0.3943964151	43.094	0	1	2.6701234918701564
2018	2018-07-13	4B	161		4.8	16.998757675	0.1639104192	103.822	0	0	
2018	2018-07-13	4C	34		6.24	15.13290504	0.36714475355	41.636	0	1	-1.022332769360828
2018	2018-07-13	4D	48		5.04	27.04449356	0.33360616155	81.549	0	0	
2018	2018-07-13	5A	191		6.6	19.790180625	0.4538735664	43.923	0	1	-0.9994968310712149
2018	2018-07-13	5B	24		4.22	24.371102175	0.3475319911	72.997			
2018	2018-07-13	5C	223		2.64	10.2022556215	0.066903647895	153.593	0	1	
2018	2018-07-13	5D	253		5.1000000000000005	30.795327175	0.4543022698	68.223	1	1	1.9608989226055524
2018	2018-07-13	6A	153		4.04	19.3345867	0.24505891355	78.902	0	1	-1.0951619784139972
2018	2018-07-13	6B	2		3.96	18.943392625	0.13986069495	137.455	1	1	
2018	2018-07-13	6C	85		4.18	20.40316187	0.229917209	88.745	0	1	-0.44822989974712546
2018	2018-07-13	6D	56		7.68	35.1771938	0.82217841765	43.2	0	1	2.3544619070364043
2018	2018-07-17	1A	239		11.24	28.840378625	0.72988306435	39.669	1	1	3.0222667329893853
2018	2018-07-17	1B	650		7.42	22.269021065	0.39755320325	56.028	0	1	1.1896604014270415
2018	2018-07-17	1C	44		4.98	30.66044055	0.24190018465	127.293	0	0	
2018	2018-07-17	1D	1		7.0600000000000005	17.5261675	0.25434286435	68.882	0	0	
2018	2018-07-17	2A	158		4.96	34.252239005	0.24399387545	140.445	1	1	
2018	2018-07-17	2B	183		5.68	43.008247635	0.52599311125	81.868	0	1	-0.7721347594127757
2018	2018-07-17	2C	268		3.18	17.174618275	0.10310852459	166.823	1	1	0.5001681564967791
2018	2018-07-17	2D	197		9.379999999999999	28.519848845	0.3098600498	91.742	0	0	
2018	2018-07-17	3A	276		4.08	14.770359515	0.16143928085	91.497	1	1	-1.1442054155263297
2018	2018-07-17	3B	602		4.88	19.920410125	0.25618061895	28.219	0	1	
2018	2018-07-17	3C	151		7.34	29.79213688	0.3264093373	91.279	1	1	
2018	2018-07-17	3D	900		4.88	5.6310910785	0.19852547475000001	77.835	0	1	
2018	2018-07-17	4A	104		8.68	25.868824735	0.28846652	89.917	0	0	
2018	2018-07-17	4B	160		4.8	14.49103787	0.079865583985	183.398	0	0	
2018	2018-07-17	4C	107		6.24	29.296252055	0.3060424089	98.383	0	1	
2018	2018-07-17	4D	66		5.04	10.96364501	0.055055585915	199.041			
2018	2018-07-17	5A	200		6.6	29.253545125	0.5376332679	54.836	1	1	1.4489010956328607
2018	2018-07-17	5B	10		4.22	29.047502425	0.48373488335	60.253	0	1	
2018	2018-07-17	5C	214		2.64	14.33531075	0.099308353655	144.54	1	1	2.030812003697599
2018	2018-07-17	5D	241		5.1000000000000005	31.71393593	1.234723706	26.161	1	1	
2018	2018-07-17	6A	149		4.04	12.87273023	0.058288652115	220.841	0	1	
2018	2018-07-17	6B	29		3.96	25.3899031	0.1507552855	169.545	1	1	0.993837675597768
2018	2018-07-17	6C	100		4.18	21.706795525	0.20567975585	105.539	0	1	0.43409272518410463
