year	round	day	plotid	plant	VWC.sm	sla	trichome_density	water_content	survived	RGR	flowered
2018	1	164	1A	229	5.96	141.9889502762431	20.428015564202333	0.7431713373536715	1	2.005387761811628	0
2018	1	164	1A	237	5.96	160.74313408723748	214.07035175879398	0.7201627486437613	1	1.943758842398428	0
2018	1	164	1A	246	5.96	148.33333333333334	91.01123595505618	0.735216240070609	1		1
2018	1	164	1A	250	5.96	133.33333333333331	362.9032258064516	0.7452054794520548	1	1.9809784125795098	0
2018	1	164	1B	654	2.84	165.03937007874018	72.51908396946564	0.7282841249465127	0		0
2018	1	164	1B	657	2.84	195.9633027522936	315.54307116104866	0.7582076308784383	1		1
2018	1	164	1B	660	2.84	140.40219378427787	91.14583333333333	0.741003787878788	1	1.6899379800828167	0
2018	1	164	1B	684	2.84	135.4810238305384	246.2540716612378	0.7528898582333697	1		1
2018	1	164	1C	44	1.96	171.58774373259052	107.95454545454545	0.7247987734764277	0		0
2018	1	164	1C	49	1.96	173.2857142857143	225.88623248145095	0.7606837606837608	1	0.12667226601372572	0
2018	1	164	1C	60	1.96	170.0361010830325	199.57537154989384	0.7522361359570662	1	2.5144749702117486	0
2018	1	164	1C	67	1.96	170.53763440860217	199.24337957124843	0.7638395124428644	1		0
2018	1	164	1D	24	2.42	159.53124999999997	231.14593535749268	0.7235421166306696	1		0
2018	1	164	1D	27	2.42	144.15011037527594	218.98928024502297	0.7173166926677068	0		0
2018	1	164	1D	32	2.42	159.1011235955056	161.0169491525424	0.7441058079355952	0		0
2018	1	164	1D	5	2.42	174.5704467353952	296.25984251968504	0.7655116841257051	1		1
2018	1	164	2A	164	3.28	130.07159904534606	285.3211009174312	0.7137978142076503	1		0
2018	1	164	2A	176	3.28	167.3960612691466	67.97385620915033	0.7235329703569268	1		0
2018	1	164	2A	676	3.28	157.6086956521739	318.62068965517244	0.7654258031616522	1		0
2018	1	164	2A	92	3.28	191.38576779026218	43.05283757338552	0.7340637450199203	0		0
2018	1	164	2B	138	3.36	163.93939393939394	243.99260628465802	0.7467382962394473	1	1.3192041746439798	0
2018	1	164	2B	196	3.36	122.13541666666666	544.7761194029852	0.7202185792349727	0		0
2018	1	164	2B	90	3.36	124.64146023468058	285.5648535564854	0.7295486600846263	0		0
2018	1	164	2B	93	3.36	175.6818181818182	174.64424320827942	0.7780020181634711	1	1.0984192194395317	0
2018	1	164	2C	268	2.14	171.78770949720672	174.7967479674797	0.7667752442996743	1	0.5001681564967791	1
2018	1	164	2C	274	2.14	130.57471264367817	91.5492957746479	0.7147540983606557	1		0
2018	1	164	2C	282	2.14	121.47477360931435	194.88817891373802	0.6644965277777778	1	-0.20775421344882036	1
2018	1	164	2C	297	2.14	148.61821903787103	238.98071625344355	0.7278551532033426	0		0
2018	1	164	2D	194	4.24	130.82901554404145	389.1089108910891	0.727689594356261	1	1.448050248287744	0
2018	1	164	2D	196	4.24	152.51299826689774	165.9090909090909	0.7134343183511298	0		0
2018	1	164	2D	204	4.24	155.37974683544303	398.16700610997964	0.772005772005772	1	1.4031662636053497	0
2018	1	164	2D	211	4.24	138.50063532401526	225.6880733944954	0.7411184210526316	1		1
2018	1	164	3A	276	2.88	174.64788732394365	99.19354838709677	0.730550284629981	1	-1.1442054155263297	1
2018	1	164	3A	639	2.88	141.5938864628821	314.5720894371627	0.7139287945034353	0		0
2018	1	164	3A	650	2.88	168.73822975517893	189.73214285714286	0.7358208955223882	1		0
2018	1	164	3A	657	2.88	139.73856209150327	130.96351730589336	0.7281449893390192	1		0
2018	1	164	3B	608	2.6599999999999997	139.8139534883721	130.40585495675316	0.7528167394803404	1	1.0765915942747704	0
2018	1	164	3B	616	2.6599999999999997	153.55648535564853	247.9564032697548	0.7498255408234473	0		0
2018	1	164	3B	823	2.6599999999999997	127.30093071354706	274.5735174654752	0.7095223790928207	1		1
2018	1	164	3B	834	2.6599999999999997	155.80985915492957	64.40677966101696	0.7353215284249767	1	1.8047597836896927	0
2018	1	164	3C	139	4.5600000000000005	164.66809421841543	242.5227568270481	0.7188440698374473	1	1.8586366030188086	0
2018	1	164	3C	158	4.5600000000000005	181.88202247191012	22.393822393822393	0.7799072642967542	1	1.9297510194119485	0
2018	1	164	3C	170	4.5600000000000005	137.07742639040347	65.23468575974543	0.6844459738472126	1	0.5044404885708884	0
